Sesso;Standard studio;Tipo istituto (school  / College );Numero Fratelli;Lavoro padre;Lavoro madre;Tipo esame universitario;Prestazione esame universitario prima elencato;Prestazioni inglese;Prima COVID-19 numero ore autoapprendimento;Durante COVID-19 numero ore autoapprendimento;Apprendimento durante covid ore online;"Ore totali di apprendimento online con istruzione ( Insegnamento )
";Parere sull'integrazione delle TIC (Information Communication Technology);Parere le TIC possono contrastare la carenza nell'apprendimento tradizionale;Opinione le TIC hanno un impatto sulla tua vita quotidiana;Opinione La tecnologia ha cambiato il modo in cui comunichi con i tuoi insegnanti;"Parere L'integrazione delle TIC può elevare gli standard educativi
";"Parere le TIC hanno migliorato la comunicazione tra insegnanti e studenti
";"Parere L'istruzione abilitata alle TIC è un buon complemento alla comunicazione faccia a faccia
";"Cambiamenti TIC Gli insegnanti usano WhatsApp per insegnare e ti incoraggiano a usare le TIC per l'apprendimento.
";"Cambiamenti TIC L'insegnante condivide contenuti elettronici per la lettura supplementare utilizzando WhatsApp
";Cambiamenti  TIC Gli insegnanti consentono l'invio di compiti tramite WhatsApp.;"Cambiamenti  TIC I gruppi elettronici all'interno della classe vengono utilizzati per fare annunci e organizzare riunioni.
";Cambiamenti TIC WhatsApp ha permesso l'interazione con gli studenti che studiano in altre università tramite Internet.; Cambiamenti  TIC WhatsApp consente il contatto con insegnanti e studenti 24 ore su 24, 7 giorni su 7, per le attività legate allo studio; Cambiamenti TIC La frequenza di interazione con gli insegnanti è aumentata a causa di WhatsApp; Cambiamenti  TIC WhatsApp ti aiuta a superare le inibizioni per interagire con insegnanti e studenti; CambiamentI TIC WhatsApp ti aiuta a documentare e condividere materiali didattici;  Ostacolo mancanza di tempo all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo pressione del programma all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo incapicità dell'infrastruttura all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo dipendenza della tecnologia all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo interazione faccia a faccia all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo costoso all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo inaffidabilità dei contenuti online all'integrazione delle ICT nel processo di insegnamento-apprendimento; Ostacolo connesione all'integrazione delle ICT nel processo di insegnamento-apprendimento;Svantaggi dell'uso delle TIC per l'insegnamento e l'apprendimento [Dipendenza dalla tecnologia];Svantaggi dell'uso delle TIC per l'insegnamento e l'apprendimento [Non interagire faccia a faccia con le persone];Svantaggi dell'uso delle TIC per l'insegnamento e l'apprendimento [Stress];Svantaggi dell'uso delle TIC per l'insegnamento e l'apprendimento [Aumenta le spese];Svantaggi dell'uso delle TIC per l'insegnamento e l'apprendimento [sovraccarico di informazioni];"4.Svantaggi dell'utilizzo delle TIC per l'insegnamento e l'apprendimento [Gli insegnanti non sanno se gli studenti utilizzano WhatsApp per motivi personali]
";;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Public;Three;Service;Service;Technical;Excellent;Excellencent;less than  4 hrs;4-7 hrs;above 7 hrs;4-7 hrs;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Neither;Neither;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Strongly agree;Agree;Agree;Disagree;Agree;Strongly agree;Agree;Agree;Agree;Neither;Agree;Strongly agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;One;Others;House wife;Commerce;Good;Good;less than  4 hrs;less than  4 hrs;4-7 hrs;4-7 hrs;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Neither;Strongly Agree;Strongly Agree;Neither;Strongly Agree;Agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Neither;Neither;Strongly agree;Strongly agree;Agree;Disagree;Neither;Agree;Strongly agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;One;Service;House wife;Commerce;Good;Average;less than  4 hrs;less than  4 hrs;less than 4 hrs;4-7 hrs;Agree;Agree;Agree;Agree;Agree;Neither;Neither;Neither;Agree;Neither;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Strongly agree;Neither;Agree;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;Two;Others;House wife;Commerce;Good;Good;4-7 hrs;4-7 hrs;less than 4 hrs;less than 4 hrs;Agree;Agree;Strongly Agree;Strongly Agree;Agree;Neither;Agree;Agree;Agree;Neither;Agree;Neither;Neither;Strongly Agree;Neither;Strongly Agree;Agree;Strongly agree;Neither;Strongly agree;Strongly agree;"3.	What do you think is the main hindrance for integration of ICT (Information Communi+AH4:AH13cation Technology) in teaching-learning process? [Not interacting face-to-face AI5with people]";Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;One;Others;House wife;Commerce;Good;Average;less than  4 hrs;4-7 hrs;4-7 hrs;4-7 hrs;Agree;Agree;Agree;Strongly Disagree;Agree;Neither;Agree;Disagree;Agree;Strongly Disagree;Agree;Disagree;Disagree;Disagree;Disagree;Agree;Strongly agree;Agree;Neither;Agree;Neither;Neither;Neither;Strongly agree;Agree;Disagree;Agree;Agree;Strongly agree;Disagree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;Three;Others;House wife;Commerce;Good;Good;less than  4 hrs;less than  4 hrs;4-7 hrs;4-7 hrs;Neither;Agree;Strongly Agree;Strongly Agree;Agree;Neither;Agree;Neither;Strongly Agree;Neither;Strongly Agree;Strongly Agree;Strongly Agree;Neither;Agree;Agree;Neither;Agree;Agree;Strongly agree;Strongly agree;Neither;Neither;Neither;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;Two;Free;House wife;Commerce;Average;Average;less than  4 hrs;less than  4 hrs;less than 4 hrs;less than 4 hrs;Agree;Agree;Neither;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;One;Free;House wife;Commerce;Good;Average;less than  4 hrs;4-7 hrs;above 7 hrs;4-7 hrs;Agree;Neither;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Neither;Strongly Agree;Neither;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither;Neither;Agree;Strongly agree;Neither;Neither;Neither;Strongly agree;Strongly agree;Neither;Agree;Neither;Agree;Neither;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;Three;Others;House wife;Commerce;Average;Good;less than  4 hrs;less than  4 hrs;less than 4 hrs;less than 4 hrs;Strongly Agree;Agree;Agree;Neither;Agree;Agree;Agree;Agree;Agree;Neither;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Strongly agree;Neither;Neither;Neither;Neither;Agree;Agree;Agree;Neither;Neither;Neither;Neither;Neither;Strongly agree;;;;;;
Female;College Level ( 1st /2nd /3rd /4th ) year;Private;One;Service;House wife;Commerce;Good;Good;4-7 hrs;less than  4 hrs;4-7 hrs;less than 4 hrs;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither;Neither;Neither;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;;;;;;
